"","Name","Date","IndividualRating","Review"
"1","Chriz","Reviewed in the United States on 7 February 2024","4.6 out of 5 stars","        Comes with 2 sheets of mesh metal filters and 8 lengths of self adhesive magnetic stips. The mesh is not as restrictive as other brands so it has good airflow while still providing moderate dust protections. if you need to preserve airflow this works, if you want better dust protecting use another brand with a finer mesh but, it will hurt your airflow.Worked well to replace the super restrictive foam filter that came with my PC case.Simple install:Measure out the size you need, cut the mesh with sharp scissors or utility knife, peel and stick the magnetic strips along the edges (allow for a slight overlap to cover any possible sharp edges) and trim off any excess strips.Super simple and effective, though i would recommend cleaning the mesh with alcohol (and let it dry) before applying the magnetic strips to remove any traces of oils from your fingers and promote the best adhesion possible.  "
"2","B Stagg","Reviewed in the United Kingdom on 14 January 2024","5.0 out of 5 stars","        Works very well on my Omen 40L. Easy to cut to size and holds in place with magnets. I gave the PC a full clean 3 weeks ago before I installed this and it's still perfectly clean inside. Has larger holes than I expected but seems to work very well and doesn't affect air flow.  "
"3","KARLOX","Reviewed in Spain on 24 December 2023","5.0 out of 5 stars","      es de buena calidad y se puede cortar bien ,muy buen producto.    "
"4","Łukasz ","Reviewed in Poland on 18 December 2022","5.0 out of 5 stars","      Wszystko ok    "
"5","Christian R.","Reviewed in Germany on 7 February 2024","5.0 out of 5 stars","      Habe die Filtermatten bestellt, da in meinem Corsair Carbide Air 540 ja standardmäßig nur an der Front ein Staubschutz installiert ist.Es gibt zwar ein Set für das Case zu bestellen, allerdings sind mir 75 € dafür unverhältnismäßig überteuert vorgekommen. Durch Zufall bin ich auf den Artikel hier gestoßen und kann nur sagen, top Qualität.Um alle Öffnungen mit einem Staubschutz zu versehen habe ich etwas mehr als die Hälfte der zwei Matten (diese werden ordentlich zwischen Kartonage verpackt versendet) gebraucht. Da ich ein ziemlich großes Case habe sollte man auf jeden Fall locker damit hinkommen für einen Standard PC.Das selbstklebende Magnetband ist auch in ausreichender Menge mitgeliefert und klebt bombig am Material. Die Magnetkraft reicht locker, um auch größere Öffnungen sicher mit einem Staubschutz zu versehen.Habe für die gesamte Bastelei gestern knapp 10 Minuten gebraucht und das für ein sehr ordentliches Ergebnis.Kann ich ohne Bedenken jedem Empfehlen, der einen hochwertigen Staubschutz für seinen Rechner braucht und dabei nicht unmengen an Kohle ausgeben will.Zu beachten ist dabei aber natürlich das es ein wenig den Airflow im Case beeinflusst ( wie jeder Staubschutz halt) und man die Lüfterdrezahl eventuell ein wenig anpassen muss.    "
"6","Diego Garcia Ipanaque","Reviewed in Canada on 14 October 2023","5.0 out of 5 stars","        the product seems to be really good quality, plus was easy to install.I recommend having a ruler and cutter.  "
"7","Diego Garcia Ipanaque","Reviewed in Belgium on 29 August 2023","5.0 out of 5 stars","      Qualité impeccable 👍👍👍    "
"8","rob ","Reviewed in Sweden on 12 September 2023","5.0 out of 5 stars","        Used this on top of my case where I have exhaust fans, but want to keep dust out when the pc is turned off. Doesn't seem to affect heat dissipation at all. Great.  "
"9","Martin Jobe","Reviewed in Sweden on 5 August 2023","5.0 out of 5 stars","      Grymt mesh som funkar till det mesta.    "
"10","André Wahlberg","Reviewed in Italy on 2 December 2023","5.0 out of 5 stars","      Pienamente soddisfatto, si può tagliare, sagomare e adattare. Utilizzando e tagliando le strisce adesive da un lato e magnetiche dall'altro, si possono suddividere le zone da coprire per poterle scoprire al bisogno anche separatamente.Non sono una persona che ha grande manualità, ma ho trovato facilissimo l'utilizzo e, di due fogli e striscie, mi è avanzato parecchio materiale per un secondo uso.Consiglio vivamente il prodotto per chi ha, come me, la necessità di proteggere il PC da polvere e peli, che i miei due gatti producono in grande quantità.    "
"11","LuFan",NA,"5.0 out of 5 stars",NA
"12","LuFan",NA,"5.0 out of 5 stars",NA
"13",NA,NA,"5.0 out of 5 stars",NA
"14",NA,NA,NA,NA
"15",NA,NA,NA,NA
"16",NA,NA,NA,NA
"17",NA,NA,NA,NA
"18",NA,NA,NA,NA
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
